image_path,label,source,source_type,source_name,source_url,license_type,license_url,attribution_note,permission_note,notes,reviewed,reviewer,privacy_checked,split,near_duplicate_group
datasets/raw/plant_not_rice_commons_0046.jpg,plant_not_rice,wikimedia commons,commons_file_page,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Maize_plant.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Attribution required to Kenogenic / Wikimedia Commons",,Strong realistic maize plant photo,no,,no,,group_046
datasets/raw/plant_not_rice_commons_0047.jpg,plant_not_rice,wikimedia commons,commons_file_page,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Wheat_Plants.JPG,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,"Attribution required to Skrissh / Wikimedia Commons",,Realistic wheat field/plant image,no,,no,,group_047
datasets/raw/plant_not_rice_commons_0048.jpg,plant_not_rice,wikimedia commons,commons_file_page,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Wheat_Plant.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Attribution required to Theankitbhardwaj / Wikimedia Commons",,Realistic single wheat plant photo,no,,no,,group_048
datasets/raw/plant_not_rice_commons_0049.jpg,plant_not_rice,wikimedia commons,commons_file_page,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Sugar_cane_plant.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Attribution required to Sheila1988 / Wikimedia Commons",,Realistic sugar cane plant photo,no,,no,,group_049
datasets/raw/plant_not_rice_commons_0050.jpg,plant_not_rice,wikimedia commons,commons_file_page,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Sugarcane_plant_01.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Attribution required to Friday musa / Wikimedia Commons",,Realistic sugarcane plant photo,no,,no,,group_050
datasets/raw/plant_not_rice_commons_0052.jpg,plant_not_rice,wikimedia commons,commons_file_page,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Houseplant_Calathea_orbifolia.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Attribution required to Supsoph / Wikimedia Commons",,Realistic houseplant photo,no,,no,,group_052
datasets/raw/plant_not_rice_commons_0053.jpg,plant_not_rice,wikimedia commons,commons_file_page,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Indoor_Plant.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Attribution required to Anshad C P / Wikimedia Commons",,Realistic indoor plant photo,no,,no,,group_053
datasets/raw/plant_not_rice_commons_0056.jpg,plant_not_rice,wikimedia commons,commons_file_page,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Houseplants.JPG,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,"Attribution required to Ruslan V Albitsky aka pauk / Wikimedia Commons",,Realistic multi-houseplant photo,no,,no,,group_056
datasets/raw/plant_not_rice_commons_0060.jpg,plant_not_rice,wikimedia commons,commons_file_page,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Basil_plant_in_a_pot_03.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Attribution required to Netha Hussain / Wikimedia Commons",,Realistic basil plant in pot photo,no,,no,,group_060
datasets/raw/plant_not_rice_commons_0065.jpg,plant_not_rice,wikimedia commons,commons_file_page,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Corn_Plants.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,"Attribution required to Spartacon3000 / Wikimedia Commons",,Realistic corn field photo,no,,no,,group_065
